,Tag,Reader,Antenna,rssi
24:58.4,10200C0YLE000A07PT5,Adpter,3,-65.5
25:02.9,10200C0YLE000A07PT5,Adpter,3,-66.5
25:03.2,10200C0YLE000A07PT4,Adpter,3,-66
25:03.4,1000C50YLE000A07QE7,Adpter,3,-68
25:03.7,1000C0YL8E000A07QQ0,Adpter,3,-65
25:03.7,1000C06YLE000A07QO8,Adpter,3,-67
25:03.9,10004C0YLE000A07QM7,Adpter,3,-66
25:03.9,10200C0YLE000A07QB8,Adpter,3,-63.5
25:03.9,10004C0YLE000A07QM7,Adpter,3,-63.5
25:03.9,10004C0YLE000A07QM7,Adpter,3,-62
25:04.1,10004C0YLE000A07QM8,Adpter,3,-67
25:04.1,11000C0YLE000A07PS6,Adpter,3,-67
25:04.1,10004C0YLE000A07QM8,Adpter,3,-66
25:04.1,10004C0YLE000A07QM7,Adpter,3,-63.5
25:04.1,10200C0YLE000A07QB8,Adpter,3,-59.5
25:04.1,11000C0YLE000A07PS6,Adpter,3,-66.5
25:04.1,10200C0YLE000A07PT6,Adpter,3,-67
25:04.1,10200C0YLE000A07QB8,Adpter,3,-58
25:04.1,1000C50YLE000A07QN2,Adpter,3,-66
25:04.1,10004C0YLE000A07QM7,Adpter,3,-61.5
25:04.1,10004C0YLE000A07QM8,Adpter,3,-64.5
25:04.1,1000C50YLE000A07QN1,Adpter,3,-64
25:04.1,10200C0YLE000A07QB8,Adpter,3,-58
25:04.1,10004C0YLE000A07QM7,Adpter,3,-61.5
25:04.1,10004C0YLE000A07QM8,Adpter,3,-64
25:04.1,1000C50YLE000A07QN1,Adpter,3,-63.5
25:04.1,1000C50YLE000A07QN1,Adpter,3,-64
25:04.1,10004C0YLE000A07QM7,Adpter,3,-60.5
25:04.1,10200C0YLE000A07PT0,Adpter,3,-64.5
25:04.1,10200C0YLE000A07QB8,Adpter,3,-56.5
25:04.1,10004C0YLE000A07QM8,Adpter,3,-64
25:04.1,10200C0YLE000A07QB8,Adpter,3,-58
25:04.1,10004C0YLE000A07QM7,Adpter,3,-60
25:04.4,10200C0YLE000A07QB8,Adpter,3,-59.5
25:04.4,11000C0YLE000A07PS6,Adpter,3,-66
25:04.4,11000C0YLE000A07PS6,Adpter,3,-66.5
25:04.4,10200C0YLE000A07QB8,Adpter,3,-60.5
25:04.4,10004C0YLE000A07QM9,Adpter,3,-61.5
25:04.4,10004C0YLE000A07QM8,Adpter,3,-61.5
25:04.4,10004C0YLE000A07QM9,Adpter,3,-63
25:04.4,10004C0YLE000A07QM7,Adpter,3,-61.5
25:04.4,10030C0YLE000A07QC7,Adpter,3,-65
25:04.4,10004C0YLE000A07QM8,Adpter,3,-59
25:04.4,10004C0YLE000A07QM7,Adpter,3,-63
25:04.4,10004C0YLE000A07QM8,Adpter,3,-59
25:04.4,10030C0YLE000A07QC7,Adpter,3,-65
25:04.4,1000C50YLE000A07QE7,Adpter,3,-67
25:04.5,10200C0YLE000A07QB8,Adpter,3,-55
25:04.5,10004C0YLE000A07QM7,Adpter,3,-58
25:04.5,10004C0YLE000A07QM8,Adpter,3,-64.5
25:04.5,10030C0YLE000A07QC7,Adpter,3,-63
25:04.5,1000C50YLE000A07PW1,Adpter,3,-61.5
25:04.5,1000C0Y7LE000A07QG7,Adpter,3,-63
25:04.5,1000C50YLE000A07QN0,Adpter,3,-64.5
25:04.5,10200C0YLE000A07QB9,Adpter,3,-67
25:04.5,1000C50YLE000A07QN0,Adpter,3,-65.5
25:04.5,10004C0YLE000A07QM7,Adpter,3,-59
25:04.5,10200C0YLE000A07QB8,Adpter,3,-50.5
25:04.5,10004C0YLE000A07QM8,Adpter,3,-65.5
25:04.5,10030C0YLE000A07QC7,Adpter,3,-62.5
25:04.5,1000C50YLE000A07QN0,Adpter,3,-63.5
25:04.5,10030C0YLE000A07QC7,Adpter,3,-58.5
25:04.5,10200C0YLE000A07PT6,Adpter,3,-67
25:04.5,1000C0YL8E000A07PZ3,Adpter,3,-66
25:04.5,10200C0YLE000A07QB8,Adpter,3,-50.5
25:04.5,10004C0YLE000A07QD5,Adpter,3,-57.5
25:04.5,11000C0YLE000A07PS3,Adpter,3,-66.5
25:04.5,1000C06YLE000A07Q65,Adpter,3,-63
25:04.5,1000C0YL8E000A07PZ5,Adpter,3,-67
25:04.5,10004C0YLE000A07QM7,Adpter,3,-60.5
25:04.5,1000C50YLE000A07PW5,Adpter,3,-64.5
25:04.5,11000C0YLE000A07PS6,Adpter,3,-64
25:04.5,1000C50YLE000A07QE7,Adpter,3,-61
25:04.7,10030C0YLE000A07QC7,Adpter,3,-54.5
25:04.7,10004C0YLE000A07QD5,Adpter,3,-54.5
25:04.7,10200C0YLE000A07QB8,Adpter,3,-49
25:04.7,1000C50YLE000A07QE7,Adpter,3,-55.5
25:04.7,1000C50YLE000A07QN0,Adpter,3,-58
25:04.7,11000C0YLE000A07PS6,Adpter,3,-58
25:04.7,10004C0YLE000A07QM7,Adpter,3,-57.5
25:04.7,1000C50YLE000A07QN2,Adpter,3,-60
25:04.7,1000C0Y7LE000A07QG7,Adpter,3,-60
25:04.7,10200C0YLE000A07PT5,Adpter,3,-60.5
25:04.7,1000C50YLE000A07PW5,Adpter,3,-62.5
25:04.7,1000C0YLE9000A07Q06,Adpter,3,-61
25:04.7,10200C0YLE000A07PT6,Adpter,3,-61.5
25:04.8,11000C0YLE000A07Q15,Adpter,3,-53
25:04.8,1000C0YL8E000A07Q82,Adpter,3,-55
25:04.8,1000C0YLE9000A07Q92,Adpter,3,-61
25:04.8,1000C50YLE000A07QE8,Adpter,3,-59.5
25:04.8,10200C0YLE000A07PT1,Adpter,3,-61.5
25:04.8,10200C0YLE000A07QB8,Adpter,3,-48
25:04.8,1000C0Y7LE000A07QP8,Adpter,3,-63.5
25:04.8,1000C50YLE000A07QE7,Adpter,3,-55
25:04.8,10200C0YLE000A07PT2,Adpter,3,-50.5
25:04.8,10030C0YLE000A07QU7,Adpter,3,-44.5
25:04.8,10004C0YLE000A07QD5,Adpter,3,-53
25:04.8,11000C0YLE000A07PS6,Adpter,3,-56.5
25:04.8,1000C0Y7LE000A07QG7,Adpter,3,-59.5
25:04.8,10004C0YLE000A07QM7,Adpter,3,-54.5
25:04.8,10200C0YLE000A07PT3,Adpter,3,-62
25:04.8,1000C06YLE000A07QF6,Adpter,3,-55.5
25:04.8,11000C0YLE000A07PS4,Adpter,3,-64
25:04.8,11000C0YLE000A07PS1,Adpter,3,-56
25:04.8,10030C0YLE000A07QL6,Adpter,3,-62
25:04.8,10030C0YLE000A07QC6,Adpter,3,-60
25:04.8,1000C0Y7LE000A07Q78,Adpter,3,-53.5
25:04.8,1000C0Y7LE000A07Q76,Adpter,3,-54
25:04.8,11000C0YLE000A07Q19,Adpter,3,-65
25:04.8,11000C0YLE000A07Q16,Adpter,3,-63
25:04.8,1000C0Y7LE000A07Q72,Adpter,3,-58.5
25:04.8,1000C50YLE000A07QN0,Adpter,3,-55
25:04.8,11000C0YLE000A07QA6,Adpter,3,-61
25:04.8,1000C0Y7LE000A07PY4,Adpter,3,-61
25:04.8,10004C0YLE000A07QM4,Adpter,3,-57.5
25:04.8,11000C0YLE000A07Q18,Adpter,3,-55
25:04.8,1000C0YL8E000A07Q88,Adpter,3,-51.5
25:04.8,10004C0YLE000A07QM9,Adpter,3,-57.5
25:04.8,10200C0YLE000A07PT6,Adpter,3,-52
25:04.8,1000C50YLE000A07Q56,Adpter,3,-54.5
25:04.8,1000C50YLE000A07PW5,Adpter,3,-60.5
25:04.8,10200C0YLE000A07PT5,Adpter,3,-53.5
25:04.8,11000C0YLE000A07PS7,Adpter,3,-61.5
25:04.8,10004C0YLE000A07QD6,Adpter,3,-55.5
25:04.8,1000C06YLE000A07PX2,Adpter,3,-60.5
25:04.8,1000C0Y7LE000A07QG9,Adpter,3,-54.5
25:04.8,1000C50YLE000A07PW8,Adpter,3,-52.5
25:04.8,1000C0Y7LE000A07QG6,Adpter,3,-52.5
25:04.9,1000C0YL8E000A07QH0,Adpter,3,-60.5
25:04.9,1000C50YLE000A07PW4,Adpter,3,-62
25:04.9,1000C50YLE000A07QN2,Adpter,3,-62
25:04.9,10030C0YLE000A07QC7,Adpter,3,-53
25:04.9,10200C0YLE000A07QB4,Adpter,3,-63
25:04.9,1000C0Y7LE000A07PY0,Adpter,3,-56.5
25:04.9,1000C0YL8E000A07Q86,Adpter,3,-63
25:04.9,1000C0YLE9000A07Q96,Adpter,3,-55
25:04.9,10004C0YLE000A07QD7,Adpter,3,-56
25:04.9,1000C0YL8E000A07Q87,Adpter,3,-61
25:04.9,10004C0YLE000A07QM8,Adpter,3,-52.5
25:04.9,11000C0YLE000A07PS2,Adpter,3,-57.5
25:04.9,1000C50YLE000A07PW0,Adpter,3,-58
25:04.9,1000C50YLE000A07PW2,Adpter,3,-51.5
25:04.9,1000C0Y7LE000A07QP1,Adpter,3,-58.5
25:04.9,1000C0YLE9000A07Q06,Adpter,3,-53
25:04.9,1000C0YLE9000A07Q05,Adpter,3,-61.5
25:04.9,1000C0Y7LE000A07Q71,Adpter,3,-62.5
25:04.9,1000C0YL8E000A07QQ8,Adpter,3,-62.5
25:04.9,10200C0YLE000A07QT9,Adpter,3,-60
25:04.9,11000C0YLE000A07PS0,Adpter,3,-63.5
25:04.9,11000C0YLE000A07QS8,Adpter,3,-60.5
25:04.9,1000C50YLE000A07PW3,Adpter,3,-58.5
25:04.9,11000C0YLE000A07QJ6,Adpter,3,-61
25:04.9,1000C06YLE000A07Q69,Adpter,3,-66.5
25:04.9,1000C0YL8E000A07PZ8,Adpter,3,-59.5
