Time,Tag,Reader,Antenna,rssi
56:28.8,10200C0YLE000A07PT5,Adpter,4,-69.5
56:28.8,10004C0YLE000A07QM8,Adpter,4,-67.5
56:28.8,10004C0YLE000A07QM9,Adpter,4,-67
56:28.8,10004C0YLE000A07QM8,Adpter,4,-67
56:28.8,10004C0YLE000A07QM8,Adpter,4,-67
56:28.8,10004C0YLE000A07QM8,Adpter,4,-67
56:28.8,10200C0YLE000A07PT5,Adpter,4,-69.5
56:28.8,10004C0YLE000A07QM8,Adpter,4,-67
56:28.8,10200C0YLE000A07PT5,Adpter,4,-69.5
56:28.8,10004C0YLE000A07QM8,Adpter,4,-66.5
56:28.8,10004C0YLE000A07QM9,Adpter,4,-67.5
56:28.8,10200C0YLE000A07PT5,Adpter,4,-69.5
56:29.0,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-66.5
56:30.9,10200C0YLE000A07QT7,Adpter,4,-68
56:30.9,10200C0YLE000A07QT7,Adpter,4,-68.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10200C0YLE000A07PT5,Adpter,4,-68.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10200C0YLE000A07PT5,Adpter,4,-68.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-64.5
56:30.9,10200C0YLE000A07PT5,Adpter,4,-69
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65
56:30.9,10200C0YLE000A07PT5,Adpter,4,-69.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65.5
56:30.9,10200C0YLE000A07PT5,Adpter,4,-69.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10200C0YLE000A07PT5,Adpter,4,-69.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-64.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM8,Adpter,4,-65
56:30.9,10004C0YLE000A07QM9,Adpter,4,-65
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM8,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67.5
56:30.9,1000C0YL8E000A07QH1,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-66.5
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67.5
56:30.9,10004C0YLE000A07QM8,Adpter,4,-68
56:30.9,10004C0YLE000A07QM9,Adpter,4,-67
56:30.9,10004C0YLE000A07QM8,Adpter,4,-66.5
